url,post_nummer,latitude,longitude,boligtype,boligstorrelse,grundstorrelse,vaerelser,etage,byggeår,om_byggeår,skatter,boligareal_tinglyst,toiletter,badevaerelser,pris,salgsmaned,salgsar
https://www.boliga.dk/bolig/1811921/aertevej_1__2_tv_2700_broenshoej,"Ærtevej 1, 2. tv 2700 Brønshøj",55.705912,12.491281,Ejerlejlighed,80,0,2,2,1981,0,1893,73,1,1,2845000,11,2021
https://www.boliga.dk/bolig/1805609/lyngbyvej_347a__1_tv_2820_gentofte,"Lyngbyvej 347A, 1. tv 2820 Gentofte",55.741865,12.534559,Ejerlejlighed,122,0,4,1,1937,0,1451,112,1,1,3495000,11,2021
https://www.boliga.dk/bolig/1790155/esthersvej_45_st_tv_2900_hellerup,"Esthersvej 45, st. tv 2900 Hellerup",55.732433,12.565538,Ejerlejlighed,88,0,3,0,1899,0,1237,78,1,1,3995000,11,2021
https://www.boliga.dk/bolig/1811921/aertevej_1__2_tv_2700_broenshoej,"Ærtevej 1, 2. tv 2700 Brønshøj",55.705912,12.491281,Ejerlejlighed,80,0,2,2,1981,0,1893,73,1,1,2845000,11,2021
https://www.boliga.dk/bolig/1805609/lyngbyvej_347a__1_tv_2820_gentofte,"Lyngbyvej 347A, 1. tv 2820 Gentofte",55.741865,12.534559,Ejerlejlighed,122,0,4,1,1937,0,1451,112,1,1,3495000,11,2021
https://www.boliga.dk/bolig/1790155/esthersvej_45_st_tv_2900_hellerup,"Esthersvej 45, st. tv 2900 Hellerup",55.732433,12.565538,Ejerlejlighed,88,0,3,0,1899,0,1237,78,1,1,3995000,11,2021
https://www.boliga.dk/bolig/1843605/vejlebrovej_122_3_3_2635_ishoej,"Vejlebrovej 122, 3. 3 2635 Ishøj",55.612559,12.363264,Ejerlejlighed,35,0,1,3,1969,0,349,35,1,1,1065000,11,2021
https://www.boliga.dk/bolig/1843544/virum_stationsvej_144g_2830_virum,Virum Stationsvej 144G 2830 Virum, , ,Rækkehus,29,0,1,1,1961,0,750, ,1,1,1250000,11,2021
https://www.boliga.dk/bolig/1843562/pilegaardsvej_58_2_1_2860_soeborg,"Pilegårdsvej 58, 2. 1 2860 Søborg",55.719126,12.463306,Ejerlejlighed,41,0,1,2,1966,0,600,41,1,1,1475000,11,2021
https://www.boliga.dk/bolig/1843597/buddingevej_190__2_202_2860_soeborg,"Buddingevej 190, 2. 202 2860 Søborg",55.752902,12.494752,Ejerlejlighed,45,0,2,2,1971,0,577,39,1,1,1495000,11,2021
https://www.boliga.dk/bolig/1843604/saven_c_1_1_1_hoeje_taastrup_2630_taastrup,"Saven C 1, 1. 1 2630 Taastrup",55.65165,12.279957,Ejerlejlighed,57,0,2,1,1974,0,595,61,1,1,1595000,11,2021
https://www.boliga.dk/bolig/1843561/buddingevej_72i_2_th_2800_kongens_lyngby,"Buddingevej 72I, 2. th 2800 Kongens Lyngby",55.761217,12.494425,Ejerlejlighed,48,0,2,2,1940,0,635,43,1,1,1650000,11,2021
https://www.boliga.dk/bolig/1843634/vejlebrovej_118_1_tv_doerlejl_52_2635_ishoej,"Vejlebrovej 118, 1. tv 2635 Ishøj",55.612294,12.362944,Ejerlejlighed,76,0,2,1,1969,0,751,78,1,1,1750000,11,2021
https://www.boliga.dk/bolig/1843592/groennevej_84_st_th_2830_virum,"Grønnevej 84, st. th 2830 Virum",55.793817,12.471724,Ejerlejlighed,64,0,2,0,1948,0,1016,54,1,1,1895000,11,2021
https://www.boliga.dk/bolig/1843747/toennesvej_18_3_2300_koebenhavn_s,"Tønnesvej 18, 3. 2300 København S",55.645124,12.61867,Ejerlejlighed,64,0,2,3,1935,0,1116,58,1,1,2095000,11,2021
https://www.boliga.dk/bolig/1843652/tinghoejvej_54_3_th_2860_soeborg,"Tinghøjvej 54, 3. th 2860 Søborg",55.740989,12.494634,Villa,0,0,0,3,1965,0,743, ,0,0,2195000,11,2021
https://www.boliga.dk/bolig/1843751/amagerbrogade_297_1_th_2300_koebenhavn_s,"Amagerbrogade 297, 1. th 2300 København S",55.641231,12.61704,Ejerlejlighed,58,0,2,1,1939,0,771,52,1,1,2245000,11,2021
https://www.boliga.dk/bolig/1843546/ungarnsgade_4_st_tv_2300_koebenhavn_s,"Ungarnsgade 4, st. tv 2300 København S",55.665883,12.611919,Ejerlejlighed,50,0,2,0,1903,0,961,43,1,0,2275000,11,2021
https://www.boliga.dk/bolig/1843790/krabbesholmvej_31__st_th_2700_broenshoej,"Krabbesholmvej 31, st. th 2700 Brønshøj",55.702606,12.498135,Ejerlejlighed,60,0,2,0,1934,0,895,55,1,1,2275000,11,2021
https://www.boliga.dk/bolig/1843752/kastrupvej_94_st_th_2300_koebenhavn_s,"Kastrupvej 94, st. th 2300 København S",55.652672,12.619612,Ejerlejlighed,53,0,2,0,1939,0,737,49,1,1,2295000,11,2021
https://www.boliga.dk/bolig/1843542/brandholms_alle_24c__st_th_2610_roedovre,"Brandholms Alle 24C, st. th 2610 Rødovre",55.674521,12.451148,Ejerlejlighed,67,0,3,0,1960,0,866,61,1,1,2495000,11,2021
https://www.boliga.dk/bolig/1843559/lynettevej_7_2_tv_2300_koebenhavn_s,"Lynettevej 7, 2. tv 2300 København S",55.659679,12.612487,Ejerlejlighed,58,0,2,2,1935,0,727,50,1,1,2795000,11,2021
https://www.boliga.dk/bolig/1843619/nordre_fasanvej_167_5_2000_frederiksberg,"Nordre Fasanvej 167, 5. 2000 Frederiksberg",55.692748,12.531909,Ejerlejlighed,43,0,2,5,1900,0,667,38,1,1,2795000,11,2021
https://www.boliga.dk/bolig/1843635/kastruplundgade_62_2_tv_2770_kastrup,"Kastruplundgade 62, 2. tv 2770 Kastrup",55.633191,12.643915,Ejerlejlighed,76,0,4,2,1950,0,1177,70,1,1,2850000,11,2021
https://www.boliga.dk/bolig/1843741/byporten_88_2970_hoersholm,Byporten 88 2970 Hørsholm, , ,Ejerlejlighed,76,0,3,3,1987,0,1223,76,1,1,2895000,11,2021
https://www.boliga.dk/bolig/1843547/trekronergade_2_1_th_2500_valby,"Trekronergade 2, 1. th 2500 Valby",55.660985,12.519356,Ejerlejlighed,66,0,3,1,1912,0,970,60,1,1,2995000,11,2021
https://www.boliga.dk/bolig/1843550/damagervej_3b_2_tv_2450_koebenhavn_sv,"Damagervej 3B, 2. tv 2450 København SV",55.648067,12.525515,Ejerlejlighed,66,0,3,2,1953,,1281,60,1,1,2995000,11,2021
https://www.boliga.dk/bolig/1843739/karensgade_10__3_tv_2500_valby,"Karensgade 10, 3. tv 2500 Valby",55.656207,12.51931,Ejerlejlighed,60,0,2,3,1934,0,855,53,1,1,2995000,11,2021
https://www.boliga.dk/bolig/1843658/vagtelvej_73_st_tv_2000_frederiksberg,"Vagtelvej 73, st. tv 2000 Frederiksberg",55.694167,12.523586,Ejerlejlighed,73,0,2,0,1969,,1110,68,1,1,3395000,11,2021
https://www.boliga.dk/bolig/1843663/drejoegade_35_st_8_2100_koebenhavn_oe,"Drejøgade 35, st. 8 2100 København Ø",55.711985,12.571007,Ejerlejlighed,74,0,2,0,1979,0,1007,60,1,1,3495000,11,2021
https://www.boliga.dk/bolig/1843735/ved_andebakken_9__2_tv_2000_frederiksberg,"Ved Andebakken 9, 2. tv 2000 Frederiksberg",55.679639,12.528227,Ejerlejlighed,57,0,2,2,1941,0,892,53,1,1,3495000,11,2021
https://www.boliga.dk/bolig/1843733/baunebakkevej_137_2650_hvidovre,Baunebakkevej 137 2650 Hvidovre, , ,Ejerlejlighed,96,0,4,3,1965,0,1270,95,1,1,3595000,11,2021
https://www.boliga.dk/bolig/1843659/falkoner_alle_61_3_th_2000_frederiksberg,"Falkoner Alle 61, 3. th 2000 Frederiksberg",55.685695,12.538825,Ejerlejlighed,59,0,2,3,1898,1972,958,49,1,1,3995000,11,2021
https://www.boliga.dk/bolig/1843730/aksel_moellers_have_24__2_tv_2000_frederiksberg,"Aksel Møllers Have 24, 2. tv 2000 Frederiksberg",55.685067,12.531728,Ejerlejlighed,68,0,2,2,1946,0,1027,55,1,1,4195000,11,2021
https://www.boliga.dk/bolig/1843489/islands_brygge_60_2_mf_2300_koebenhavn_s,"Islands Brygge 60, 2. mf 2300 København S",55.656871,12.565858,Ejerlejlighed,72,0,2,2,2018,0,1610,61,1,1,4345000,11,2021
https://www.boliga.dk/bolig/1843616/annexstraede_21_3_th_2500_valby,"Annexstræde 21, 3. th 2500 Valby",55.665445,12.511447,Ejerlejlighed,109,0,3,3,2007,0,2415,91,1,1,5250000,11,2021
https://www.boliga.dk/bolig/1843664/strandbjerg_4b_2960_rungsted_kyst,Strandbjerg 4B 2960 Rungsted Kyst, , ,Ejerlejlighed,106,0,3,2,1995,0,2227,106,1,1,5295000,11,2021
